Unnamed: 0,정류소명,station_name,station_id,station_num,WGS84lat,WGS84lon,lat,lon,value,x,y,nodes,passenger_count,normalized_passenger_count,adjusted_passenger_count,pheromone
0,가인만당앞,Gainmandang,239000605,44204.0,37.5978167,127.49735,37.5978167,127.49735,4,85,12,"(85, 12)",163.0,0.011474025059833873,5.172110375897508,8.965886824624675
1,가일1리,Gail 1-ri,239000514,44339.0,37.6073833,127.4921333,37.6073833,127.4921333,4,80,22,"(80, 22)",52.0,0.0036604251724623397,5.054906377586935,8.810700091291308
3,가일리,Gail-ri ,239000655,44404.0,37.6047667,127.4930833,37.6047667,127.4930833,4,81,19,"(81, 19)",78.0,0.0054906377586935095,5.082359566380402,8.84705013693696
4,가일리삼거리,Gail-ri Samgeori ,239000603,44189.0,37.6006167,127.4930667,37.6006167,127.4930667,4,81,15,"(81, 15)",163.0,0.011474025059833873,5.172110375897508,8.965886824624675
5,청심평화월드센터,Church ,239000757,44680.0,37.6858667,127.5208333,37.6858667,127.5208333,4,109,100,"(109, 100)",689.0,0.048500633535126,5.72750950302689,9.701276209609823
6,구정마을,Gujeong Maeul ,239000415,44298.0,37.6315167,127.5093,37.6315167,127.5093,4,97,46,"(97, 46)",9.0,0.0006335351260030972,5.009503026890046,8.75058270810811
7,가래골,Niagara,239000694,44717.0,37.7111167,127.4445667,37.7111167,127.4445667,4,32,125,"(32, 125)",10.0,0.0007039279177812192,5.010558918766718,8.75198078678679
9,널미재,Neolmijae,239000417,44507.0,37.66205,127.5428333,37.66205,127.5428333,4,131,76,"(131, 76)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
10,능골,Neunggol,239000833,44805.0,37.6974,127.45935,37.6974,127.45935,4,47,112,"(47, 112)",58.0,0.004082781923131071,5.061241728846966,8.819088563363382
12,다리앞,Bridge,239000355,44327.0,37.651,127.4944833,37.651,127.4944833,4,82,65,"(82, 65)",39.0,0.0027453188793467548,5.041179783190201,8.79252506846848
13,대리종점,Daeri Bus Terminal ,239000425,44291.0,37.5955667,127.5095833,37.5955667,127.5095833,4,97,10,"(97, 10)",5.0,0.0003519639588906096,5.005279459383359,8.744990393393394
14,동면마을,Dong-myeon,239000403,44306.0,37.6223333,127.5155333,37.6223333,127.5155333,4,103,36,"(103, 36)",34.0,0.002393354920456145,5.0359003238068425,8.785534675075086
15,설악5일시장,Myeon-Office ,239000381,44314.0,37.6767,127.4935,37.6767,127.4935,4,81,91,"(81, 91)",3421.0,0.24081374067295508,8.612206110094327,13.520827159760824
16,명장마을(설악방향),Myeongjang Burak ,239000653,44406.0,37.6707333,127.48795,37.6707333,127.48795,4,76,85,"(76, 85)",1030.0,0.07250457553146558,6.087568632971983,10.17802103903936
17,명장삼거리,Myeongjang Samgeori,239000837,44809.0,37.6674667,127.4836167,37.6674667,127.4836167,4,71,82,"(71, 82)",33.0,0.0023229621286780236,5.03484443193017,8.784136596396406
18,묵안리,Mugan-ri,239000398,44309.0,37.6034333,127.5329,37.6034333,127.5329,4,121,18,"(121, 18)",10.0,0.0007039279177812192,5.010558918766718,8.75198078678679
20,묵안리종점,Mugan-ri Bus Terminal ,239000399,44163.0,37.5966333,127.5397,37.5966333,127.5397,4,128,11,"(128, 11)",29.0,0.0020413909615655357,5.030620864423483,8.77854428168169
21,미사1리회관,Misa 1-ri Community Center,239000346,44333.0,37.7042833,127.5394833,37.7042833,127.5394833,4,127,118,"(127, 118)",0.0,0.0,5.0,8.738
22,미사2리회관,Misa 2-ri Community Center,239000348,44478.0,37.7129333,127.5411,37.7129333,127.5411,4,129,127,"(129, 127)",0.0,0.0,5.0,8.738
23,바하마,Bahama,239000620,44090.0,37.7192667,127.4325167,37.7192667,127.4325167,4,20,133,"(20, 133)",7.0,0.0004927495424468534,5.007391243136703,8.747786550750753
25,발전소,Power Plant,239000619,44081.0,37.7227167,127.4222167,37.7227167,127.4222167,4,10,137,"(10, 137)",7.0,0.0004927495424468534,5.007391243136703,8.747786550750753
26,방일리,Bang-il-ri,239000420,44294.0,37.6232667,127.4951333,37.6232667,127.4951333,4,83,37,"(83, 37)",341.0,0.024003941996339574,5.3600591299450935,9.214744829429534
27,배치고개,Baechi Gogae,239000703,44419.0,37.6650333,127.4457667,37.6650333,127.4457667,4,34,79,"(34, 79)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
29,버싯게,Beositgae,239000396,44310.0,37.6112,127.5222333,37.6112,127.5222333,4,110,25,"(110, 25)",4.0,0.0002815711671124877,5.004223567506688,8.743592314714716
30,벌미마을,Beolmi Maeul ,239000867,44843.0,37.6670167,127.5146167,37.6670167,127.5146167,4,102,81,"(102, 81)",45.0,0.0031676756300154864,5.047515134450232,8.800913540540554
31,보물섬,Bomulseom,239000614,44554.0,37.6844667,127.4698167,37.6844667,127.4698167,4,58,99,"(58, 99)",16.0,0.0011262846684499507,5.016894270026749,8.760369258858864
33,불기마을,Bulgi Maeul ,239000606,44386.0,37.6355333,127.4817833,37.6355333,127.4817833,4,70,50,"(70, 50)",109.0,0.007672814303815289,5.1150922145572295,8.89039057597601
35,뽀루봉,Pporubong,239000616,44084.0,37.72115,127.4278,37.72115,127.4278,4,16,135,"(16, 135)",7.0,0.0004927495424468534,5.007391243136703,8.747786550750753
36,뽕나무거리,Ppongnamu Street,239000372,44514.0,37.6414667,127.47635,37.6414667,127.47635,4,64,56,"(64, 56)",88.0,0.006194565676474729,5.092918485147121,8.861030923723751
37,사룡리마을회관,Saryong-ri Community Center,239000706,44684.0,37.6921,127.4878167,37.6921,127.4878167,4,76,106,"(76, 106)",1538.0,0.10826411375475152,6.623961706321273,10.888245007808287
38,산포마을(모곡방면),Sanpo Maeul ,239000505,44528.0,37.67495,127.5005167,37.67495,127.5005167,4,88,89,"(88, 89)",3421.0,0.24081374067295508,8.612206110094327,13.520827159760824
39,삼밭골,Sambatgol,239000389,44116.0,37.68735,127.4644167,37.68735,127.4644167,4,52,101,"(52, 101)",16.0,0.0011262846684499507,5.016894270026749,8.760369258858864
41,설곡회관,Seolgok Community Center,239000404,44305.0,37.6211333,127.51955,37.6211333,127.51955,4,107,35,"(107, 35)",34.0,0.002393354920456145,5.0359003238068425,8.785534675075086
42,연하리,Seorak TR,239000697,44708.0,37.6778833,127.48845,37.6778833,127.48845,4,76,92,"(76, 92)",358.0,0.02520061945656765,5.378009291848515,9.238512166967078
43,설악중고교앞,Seorak Middle & High School,239000790,44773.0,37.682,127.4910333,37.682,127.4910333,4,79,96,"(79, 96)",712.0,0.050119667746022806,5.751795016190342,9.73343201921944
44,설악터미널,Seorak Terminal ,239000374,44126.0,37.6776333,127.48875,37.6776333,127.48875,4,77,92,"(77, 92)",14206.0,1.0,20.0,28.599105709313733
45,성곡부락,Seonggok Burak,239000406,44583.0,37.6167667,127.5362833,37.6167667,127.5362833,4,124,31,"(124, 31)",10.0,0.0007039279177812192,5.010558918766718,8.75198078678679
46,소설부락,Soseolburak,239000405,44509.0,37.61825,127.5255667,37.61825,127.5255667,4,113,32,"(113, 32)",4.0,0.0002815711671124877,5.004223567506688,8.743592314714716
47,솔고개,Solgogae,239000387,44118.0,37.6772833,127.47005,37.6772833,127.47005,4,58,91,"(58, 91)",60.0,0.0042235675066873155,5.06335351260031,8.821884720720739
49,송산2리,Songsan 2-ri ,239000343,44598.0,37.7207167,127.5262333,37.7207167,127.5262333,4,114,135,"(114, 135)",30.0,0.0021117837533436577,5.031676756300155,8.77994236036037
50,송산리,Songsan-ri,239000681,44827.0,37.6864833,127.5271,37.6864833,127.5271,4,115,101,"(115, 101)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
51,수영인의마을,Swimmer's Village,239000707,44685.0,37.6980667,127.49015,37.6980667,127.49015,4,78,112,"(78, 112)",1538.0,0.10826411375475152,6.623961706321273,10.888245007808287
52,숙골,Sukgol,239000838,44810.0,37.6530167,127.4813667,37.6530167,127.4813667,4,69,67,"(69, 67)",18.0,0.0012670702520061945,5.019006053780093,8.763165416216221
54,신천4리인내,Sincheon 4-ri Innae,239000384,44513.0,37.657,127.4802333,37.657,127.4802333,4,68,71,"(68, 71)",80.0,0.005631423342249754,5.084471350133747,8.849846294294318
55,안골,Angol ,239000390,44108.0,37.7007667,127.4546333,37.7007667,127.4546333,4,42,115,"(42, 115)",14.0,0.0009854990848937068,5.014782486273406,8.757573101501505
57,양지말,Yangjimal,239000376,44102.0,37.7052167,127.4485667,37.7052167,127.4485667,4,36,119,"(36, 119)",62.0,0.004364353090243559,5.065465296353653,8.824680878078096
58,어비산장앞,Eobi Lodge,239000424,44209.0,37.5976667,127.50535,37.5976667,127.50535,4,93,12,"(93, 12)",9.0,0.0006335351260030972,5.009503026890046,8.75058270810811
59,엄소리상촌,Eomsori Sangchon,239000358,44325.0,37.6470833,127.5008167,37.6470833,127.5008167,4,89,61,"(89, 61)",1.0,7.039279177812192e-05,5.001055891876672,8.73939807867868
60,엄소리입구,Eomso-ri,239000861,44837.0,37.6552667,127.4820667,37.6552667,127.4820667,4,70,69,"(70, 69)",33.0,0.0023229621286780236,5.03484443193017,8.784136596396406
61,엄소회관,Eomso Community Center,239000356,44476.0,37.6482167,127.4973333,37.6482167,127.4973333,4,85,62,"(85, 62)",57.0,0.004012389131352949,5.060185836970295,8.817690484684702
62,열린효경원,Yeollin Welfare Land,239000835,44807.0,37.6816833,127.4709833,37.6816833,127.4709833,4,59,96,"(59, 96)",60.0,0.0042235675066873155,5.06335351260031,8.821884720720739
63,영천벌,Youngcheon-ri,239000691,44674.0,37.6506,127.4472667,37.6506,127.4472667,4,35,65,"(35, 65)",9.0,0.0006335351260030972,5.009503026890046,8.75058270810811
64,용문부락종점,Yongmunburak Bus Terminal ,239000515,44338.0,37.6953,127.48175,37.6953,127.48175,4,70,109,"(70, 109)",1538.0,0.10826411375475152,6.623961706321273,10.888245007808287
65,울업마을,Ureop Maeul,239000352,44477.0,37.6848833,127.4928,37.6848833,127.4928,4,81,99,"(81, 99)",1538.0,0.10826411375475152,6.623961706321273,10.888245007808287
66,위곡1리회관,Wigok 1-ri Community Center,239000365,44320.0,37.67145,127.5289167,37.67145,127.5289167,4,117,86,"(117, 86)",59.0,0.004153174714909193,5.062297620723638,8.82048664204206
68,위곡2리,Wigok 2-ri,239000863,44839.0,37.6725333,127.5225167,37.6725333,127.5225167,4,110,87,"(110, 87)",0.0,0.0,5.0,8.738
69,위곡3리,Wigok 3-ri,239000411,44301.0,37.6592,127.51675,37.6592,127.51675,4,105,73,"(105, 73)",8.0,0.0005631423342249754,5.008447135013375,8.74918462942943
