시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
가평군,엄소리상촌,Eomso-ri Sangchon ,239000357,44326.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.64725,127.50075
가평군,엄소리입구,Eomso-ri,239000861,44837.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6552667,127.4820667
가평군,엄소리입구,Eomso-ri,239000862,44838.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6552667,127.48185
가평군,엄소회관,Eomso Community Center,239000356,44476.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6482167,127.4973333
가평군,엄소회관,Eomso Community Center,239000359,44324.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6481333,127.4972167
가평군,열린효경원,Yeollin Welfare Land,239000835,44807.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6816833,127.4709833
가평군,열린효경원,Yeollin Welfare Land,239000834,44806.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6817333,127.4708
가평군,영천리,Youngcheon-ri,239000691,44674.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6506,127.4472667
가평군,용문부락종점,Yongmunburak Bus Terminal ,239000515,44338.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6953,127.48175
가평군,울업마을,Ureop Maeul,239000352,44477.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6848833,127.4928
가평군,울업마을,Ureop Maeul,239000354,44328.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6850333,127.49295
가평군,위곡1리회관,Wigok 1-ri Community Center,239000365,44320.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.67145,127.5289167
가평군,위곡1리회관,Wigok 1-ri Community Center,239000366,44319.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.67135,127.5288333
가평군,위곡2리,Wigok 2-ri,239000863,44839.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6725333,127.5225167
가평군,위곡2리,Wigok 2-ri ,239000864,44840.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6724,127.52255
가평군,위곡3리,Wigok 3-ri,239000411,44301.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6592,127.51675
가평군,위곡3리,Wigok 3-ri,239000412,44300.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6591667,127.51685
가평군,위곡3리회관,Wigok 3-ri Community Center,239000410,44302.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.65585,127.5166833
가평군,윗벌,Witbeol,239000860,44836.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6615667,127.4809
가평군,윗벌,Witbeol,239000859,44835.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6615667,127.4810167
가평군,유명산삼거리,Yumyeongsan Samgeori,239000639,44432.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6013833,127.4930667
가평군,유명산종점,Yumyeongsan Bus Terminal ,239000418,44296.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5954167,127.4906333
가평군,유명산종점,Yumyeongsan Bus Terminal ,239000685,44175.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5953833,127.4907667
가평군,응달말입구,Eungdalmal,239000367,44318.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6711667,127.5186167
가평군,응달말입구.위곡2리,"Eungdalmal, Wigok 2-ri",239000364,44516.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6713667,127.51855
가평군,이천리,Icheon-ri,239000702,44675.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6571333,127.4476333
가평군,이천리,Icheon-ri,239000701,44644.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.65705,127.44755
가평군,인내(양평방면),Innae ,239000509,44341.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.65695,127.4801167
가평군,전위골,Jeonwigol,239000427,44290.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6182333,127.49125
가평군,전위골,Jeonwigol,239000421,44506.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.61815,127.49145
가평군,조앙부락,Joang Burak,239000397,44511.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.60425,127.52485
가평군,조앙부락,Joang Burak,239000401,44510.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6038833,127.5248
가평군,창말입구,Changmal ,239000368,44515.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6690333,127.513
가평군,창말입구,Changmal,239000830,44834.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6690667,127.51325
가평군,창말입구,Changmal,239000363,44321.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6692167,127.5131833
가평군,창의리,Chang-ui-ri,239000369,44317.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6698,127.5073
가평군,창의리,Chang-ui-ri,239000362,44322.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.66995,127.5072333
가평군,천안1리,Cheonan 1-ri,239000370,44316.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6409667,127.4773667
가평군,천안1리,Cheonan 1-ri,239000513,44526.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6320833,127.4843833
가평군,천안1리뇌암,Cheonan 1-ri Noeam,239000419,44295.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.63215,127.4845833
가평군,청심국제병원,Cheongshim Hospital ,239000613,44203.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6908333,127.5211333
가평군,청심빌리지,Cheongsim Village,239000870,44829.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6878333,127.5143
가평군,청심빌리지,Cheongsim Village,239000869,44828.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6879333,127.5142833
가평군,청아빌라1차,ChungA Villa 1-cha,239000759,44747.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6867,127.5180833
가평군,청아빌라1차,ChungA Villa 1-cha,239000758,44751.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6866,127.5180667
가평군,청아빌라2차,ChungA Villa 2-cha,239000761,44749.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6861333,127.49885
가평군,청아빌라2차,ChungA Villa 2-cha,239000760,44752.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6860333,127.4988333
가평군,큰골,Keungol,239000517,44110.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.70045,127.4571333
가평군,큰골,Keungol,239000378,44111.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7006,127.4572333
가평군,탐선리,Tamseon-ri,239000539,44121.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6764667,127.4794167
가평군,탐선부락,Tamseon Burak,239000380,44120.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6765333,127.4793333
가평군,한각골부락,Hangakgolburak,239000751,44733.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6781333,127.4849833
가평군,한각골부락,Hangakgolburak ,239000750,44734.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.678,127.4847
가평군,한교막,Hangyomak,239000382,44313.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.67245,127.4912667
가평군,한교막(양평방면),Hangyomak (Yangpyeong),239000510,44527.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6725167,127.4911
가평군,한우재,Hanujae,239000385,44312.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.64915,127.47625
가평군,한우재,Hanujae,239000386,44311.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6492667,127.476
가평군,해방촌부락,Haebangchonburak,239000251,44096.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7148,127.4407167
가평군,해방촌부락,Haebangchon Burak,239000695,44718.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7147333,127.4404167
가평군,활골,Hwalgol,239000640,44549.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6390833,127.5134
가평군,활골,Hwalgol,239000414,44299.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6388,127.5134
가평군,회곡2리회관,Hoegok 2-ri Community Center,239000699,44673.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6725667,127.4599667
가평군,회곡2리회관,Hoegok 2-ri Community Center,239000704,44480.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6724167,127.4598333
가평군,회곡리,Hoegok-ri,239000392,44104.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7075167,127.4493167
가평군,회곡리,Hoegok-ri ,239000518,44105.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.70775,127.4494
가평군,흑암,Heugam,239000865,44841.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.66955,127.5342
가평군,흑암,Heugam,239000866,44842.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6695167,127.53445
